x1,deal_number,acquiror_name,target_name,deal_type,deal_status,deal_value_th_usd,announced_date,completed_date,withdrawn_date_10,withdrawn_date_11,initial_stake_percent,acquired_stake_percent,target_ticker,target_stock_exchange_s_listed,deal_completed,cik,sec_name
36,1909653308,KKR AMERICAS FUND XII EAA LP,ENVISION HEALTHCARE CORPORATION,Institutional buy-out 100%,Completed,9900000,2018-06-11T00:00:00Z,2018-10-11T00:00:00Z,NA,NA,0.00000,100.00000,EVHC,New York Stock Exchange (NYSE),1,NA,NA
37,1941055366,RED HAWK ENTERPRISES CORPORATION,CSRA INC.,Acquisition 100% Bid 2 – Increased offer,Completed,9700000,2018-03-20T00:00:00Z,2018-04-03T00:00:00Z,NA,NA,0.00000,100.00000,CSRA,New York Stock Exchange (NYSE),1,NA,NA
38,1941150729,DIAMOND SPORTS GROUP LLC,FOX SPORTS NET LLC,Acquisition 100%,Completed,9600000,2019-05-03T00:00:00Z,2019-08-23T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
39,1941059537,CONCHO RESOURCES INC.,RSP PERMIAN INC.,Acquisition 100%,Completed,9500000,2018-03-28T00:00:00Z,2018-07-19T00:00:00Z,NA,NA,0.00000,100.00000,RSPP,New York Stock Exchange (NYSE),1,NA,NA
40,1909647085,LENNAR CORPORATION,CALATLANTIC GROUP INC.,Acquisition 100%,Completed,9300000,2017-10-30T00:00:00Z,2018-02-12T00:00:00Z,NA,NA,0.00000,100.00000,CAA,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
41,1909652886,BROOKFIELD PROPERTY PARTNERS LP,GGP INC.,Acquisition increased from 34% to 100%,Completed,9250000,2018-03-26T00:00:00Z,2018-08-28T00:00:00Z,NA,NA,34.00000,66.00000,BPR,NASDAQ National Market,1,NA,NA
42,1909630735,NORTHROP GRUMMAN CORPORATION,ORBITAL ATK INC.,Acquisition 100%,Completed,9200000,2017-09-18T00:00:00Z,2018-06-06T00:00:00Z,NA,NA,0.00000,100.00000,OA,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
43,1909525254,DIAMONDBACK ENERGY INC.,ENERGEN CORPORATION,Acquisition 100%,Completed,9200000,2018-08-14T00:00:00Z,2018-11-29T00:00:00Z,NA,NA,0.00000,100.00000,EGN,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
44,1941215745,CAPITAL ONE FINANCIAL CORPORATION,SYNCHRONY FINANCIAL'S WALMART CREDIT CARD PORTFOLIO,Acquisition 100%,Completed Assumed,9000000,2019-01-23T00:00:00Z,NA,NA,NA,0.00000,100.00000,NA,NA,0,NA,NA
45,1941025551,CELGENE CORPORATION,JUNO THERAPEUTICS INC.,Acquisition increased from 9.7% to 100%,Completed,9000000,2018-01-22T00:00:00Z,2018-03-06T00:00:00Z,NA,NA,9.70000,90.30000,JUNO,NASDAQ National Market,1,NA,NA
46,1941063663,NOVARTIS AM MERGER CORPORATION,AVEXIS INC.,Acquisition 82.48%,Completed,8700000,2018-04-09T00:00:00Z,2018-05-15T00:00:00Z,NA,NA,0.00000,82.48000,AVXS,NASDAQ National Market / Boerse Duesseldorf,1,NA,NA
47,1941086158,KKR & CO INC.,BMC SOFTWARE INC.,Institutional buy-out 100%,Completed,8500000,2018-05-29T00:00:00Z,2018-10-02T00:00:00Z,NA,NA,0.00000,100.00000,BMC,NASDAQ National Market / NASDAQ OMX PHLX,1,NA,NA
48,1941070569,CENTERPOINT ENERGY INC.,VECTREN CORPORATION,Acquisition 100%,Completed,8481622,2018-04-23T00:00:00Z,2019-02-01T00:00:00Z,NA,NA,0.00000,100.00000,VVC,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
49,1941112823,FS INVESTMENT CORPORATION,CORPORATE CAPITAL TRUST INC.,Acquisition 100%,Completed,8210000,2018-07-23T00:00:00Z,2018-12-19T00:00:00Z,NA,NA,0.00000,100.00000,NA,New York Stock Exchange (NYSE),1,NA,NA
50,1941014030,MPLX LP,MPLX REFINING LOGISTICS LLC,Acquisition 100%,Completed Assumed,8100000,2017-11-13T00:00:00Z,NA,NA,NA,0.00000,100.00000,NA,NA,0,NA,NA
NA,NA,NA,MPLX FUELS DISTRIBUTION LLC,NA,NA,NA,NA,NA,NA,NA,0.00000,100.00000,NA,NA,0,NA,NA
51,1941153518,BUCKNELL MERGER SUBSIDIARY INC.,QUALTRICS LLC,Acquisition 100%,Completed,8000000,2018-11-11T00:00:00Z,2019-01-23T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
52,1941043353,GENERAL MILLS INC.,BLUE BUFFALO PET PRODUCTS INC.,Acquisition 100%,Completed,8000000,2018-02-23T00:00:00Z,2018-04-24T00:00:00Z,NA,NA,0.00000,100.00000,BUFF,NASDAQ National Market,1,NA,NA
53,1941077687,BRE GLACIER LP,GRAMERCY PROPERTY TRUST,Institutional buy-out 100%,Completed,7600000,2018-05-07T00:00:00Z,2018-10-10T00:00:00Z,NA,NA,0.00000,100.00000,GPT,New York Stock Exchange (NYSE),1,NA,NA
54,1941090061,MICROSOFT CORPORATION,GITHUB INC.,Acquisition 100%,Completed,7500000,2018-06-04T00:00:00Z,2018-10-26T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
55,1941147295,COMMSCOPE HOLDING COMPANY INC.,ARRIS INTERNATIONAL PLC,Acquisition 100%,Completed,7400000,2018-11-08T00:00:00Z,2019-04-04T00:00:00Z,NA,NA,0.00000,100.00000,ARRS,NASDAQ National Market,1,NA,NA
56,1941427170,PLATINUM EQUITY LLC,INGRAM MICRO INC.,Institutional buy-out 100%,Completed,7200000,2020-12-09T00:00:00Z,2021-07-07T00:00:00Z,NA,NA,0.00000,100.00000,IM,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
57,1941152135,ANTERO MIDSTREAM GP LP,ANTERO MIDSTREAM PARTNERS LP,Acquisition 100%,Completed,7200000,2018-10-09T00:00:00Z,2019-03-12T00:00:00Z,NA,NA,Unknown %,100.00000,AM,New York Stock Exchange (NYSE),1,0001623925,Antero Midstream Corp
58,1941143890,NEXSTAR MEDIA GROUP INC.,TRIBUNE MEDIA COMPANY,Acquisition 100%,Completed,7200000,2018-12-03T00:00:00Z,2019-09-19T00:00:00Z,NA,NA,0.00000,100.00000,TRCO,New York Stock Exchange (NYSE),1,NA,NA
59,1941048432,HCP MEZZANINE LENDER LP,HCR MANOR CARE INC.,Acquisition 100%,Completed Assumed,7100000,2018-03-02T00:00:00Z,NA,NA,NA,0.00000,100.00000,HCR,New York Stock Exchange (NYSE),0,NA,NA
60,1941127033,RENESAS ELECTRONICS CORPORATION,INTEGRATED DEVICE TECHNOLOGY INC.,Acquisition 100%,Completed,7100000,2018-09-11T00:00:00Z,2019-03-29T00:00:00Z,NA,NA,0.00000,100.00000,IDTI,NASDAQ National Market,1,NA,NA
61,1941065048,INTERNATIONAL FLAVORS & FRAGRANCES INC.,FRUTAROM INDUSTRIES LTD,Acquisition 100%,Completed,7100000,2018-05-07T00:00:00Z,2018-10-04T00:00:00Z,NA,NA,0.00000,100.00000,FRUT,Tel Aviv Stock Exchange / Pink Sheets Grey Market,1,NA,NA
62,1941020797,CELGENE CORPORATION,IMPACT BIOMEDICINES INC.,Acquisition 100%,Completed,7000000,2018-01-07T00:00:00Z,2018-02-12T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
63,1941118952,STAR PARENT LP,DUN & BRADSTREET CORPORATION,Institutional buy-out 100%,Completed,6900000,2018-08-08T00:00:00Z,2019-02-08T00:00:00Z,NA,NA,0.00000,100.00000,DNB,NASDAQ OMX PHLX,1,NA,NA
64,1941142032,ELANCO ANIMAL HEALTH INC.,BAYER AG'S ANIMAL HEALTH BUSINESS,Acquisition 100%,Completed,6890000,2019-08-20T00:00:00Z,2020-08-03T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
65,1909650106,MARVELL TECHNOLOGY GROUP LTD,CAVIUM INC.,Acquisition 100%,Completed,6843000,2017-11-20T00:00:00Z,2018-07-06T00:00:00Z,NA,NA,0.00000,100.00000,CAVM,NASDAQ National Market,1,NA,NA
66,1909627513,AMCOR PLC,BEMIS COMPANY INC.,Acquisition 100%,Completed,6800000,2018-08-06T00:00:00Z,2019-06-11T00:00:00Z,NA,NA,0.00000,100.00000,BMS,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
67,1941102540,CERBERUS CAPITAL MANAGEMENT LP,BANCO DE SABADELL SA'S PROBLEMATIC ASSETS (CHALLENGER),Institutional buy-out 80%,Completed,6636928.5289981,2018-07-19T00:00:00Z,2018-07-19T00:00:00Z,NA,NA,0.00000,80.00000,NA,NA,1,NA,NA
68,1941055565,SALESFORCE.COM INC.,MULESOFT INC.,Acquisition 100% New York Stock Exchange,Completed,6500000,2018-03-20T00:00:00Z,2018-05-02T00:00:00Z,NA,NA,0.00000,100.00000,MULE,New York Stock Exchange (NYSE),1,NA,NA
69,1941083846,NEXTERA ENERGY INC.,GULF POWER COMPANY,Acquisition 65% and 100%,Completed Assumed,6475000,2018-05-21T00:00:00Z,NA,NA,NA,0.00000,100.00000,NA,NA,0,NA,NA
NA,NA,NA,FLORIDA CITY GAS INC.,NA,NA,NA,NA,NA,NA,NA,0.00000,100.00000,NA,NA,0,NA,NA
NA,NA,NA,SOUTHERN COMPANY'S PLANT OLEANDER,NA,NA,NA,NA,NA,NA,NA,0.00000,100.00000,NA,NA,0,NA,NA
NA,NA,NA,SOUTHERN COMPANY'S STANTON ENERGY CENTER,NA,NA,NA,NA,NA,NA,NA,0.00000,65.00000,NA,NA,0,NA,NA
70,1909529752,ALTAGAS LTD,WGL HOLDINGS INC.,Acquisition 100%,Completed,6395427.98771307,2017-01-25T00:00:00Z,2018-07-06T00:00:00Z,NA,NA,0.00000,100.00000,WGL,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
71,1941133158,MMC TREASURY HOLDINGS (UK) LTD,JARDINE LLOYD THOMPSON GROUP PLC,Acquisition 100%,Completed,6379689.19858513,2018-09-18T00:00:00Z,2019-04-01T00:00:00Z,NA,NA,0.00000,100.00000,JLT,Pink Sheets Grey Market,1,NA,NA
72,1941058056,GEBR. KNAUF KG,USG CORPORATION,Acquisition increased from 10.5% to 100%,Completed,6265000,2018-06-11T00:00:00Z,2019-04-24T00:00:00Z,NA,NA,10.50000,89.50000,USG,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
73,1909639749,PENN NATIONAL GAMING INC.,PINNACLE ENTERTAINMENT INC.,Acquisition 100%,Completed,6113000,2017-12-18T00:00:00Z,2018-10-15T00:00:00Z,NA,NA,0.00000,100.00000,PNK,NASDAQ National Market,1,NA,NA
74,1941014606,CAMPBELL SOUP COMPANY,SNYDER'S-LANCE INC.,Acquisition 100%,Completed,6100000,2017-12-18T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,0.00000,100.00000,LNCE,NASDAQ National Market,1,NA,NA
75,1941096463,CPA17 MERGER SUB LLC,CORPORATE PROPERTY ASSOCIATES 17 - GLOBAL INC.,Acquisition 100%,Completed,5929000,2018-10-31T00:00:00Z,2018-10-31T00:00:00Z,NA,NA,0.00000,100.00000,CPPY,OTC Bulletin Board,1,NA,NA
76,1909525267,ENCANA CORPORATION,NEWFIELD EXPLORATION COMPANY,Acquisition 100%,Completed,5817971.87773129,2018-11-01T00:00:00Z,2019-02-13T00:00:00Z,NA,NA,0.00000,100.00000,NFX,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
77,1941007786,CINEWORLD GROUP PLC,REGAL ENTERTAINMENT GROUP,Acquisition 100%,Completed,5800000,2017-12-05T00:00:00Z,2018-02-28T00:00:00Z,NA,NA,0.00000,100.00000,RGC,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,0001829667,Regencell Bioscience Holdings Ltd
78,1941134342,GLOBAL INFRASTRUCTURE MANAGEMENT LLC,HORNSEA 1 HOLDINGS LTD,Institutional buy-out 50%,Completed,5717468.95413364,2018-09-18T00:00:00Z,2018-11-26T00:00:00Z,NA,NA,0.00000,50.00000,NA,NA,1,NA,NA
79,1941145222,INVESCO LTD,OPPENHEIMERFUNDS INC.,Acquisition 100%,Completed Assumed,5714986,2018-10-18T00:00:00Z,NA,NA,NA,0.00000,100.00000,NA,NA,0,NA,NA
80,1939042430,INVESCO LTD,OPPENHEIMERFUNDS INC.,Acquisition 100%,Completed,5714986,2018-10-18T00:00:00Z,2019-05-24T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
81,1941092036,MAY HOLDING CORPORATION,ATHENAHEALTH INC.,Institutional buy-out 100%,Completed,5700000,2018-11-11T00:00:00Z,2019-02-11T00:00:00Z,NA,NA,0.00000,100.00000,ATHN,NASDAQ National Market,1,NA,NA
82,1941111782,RCCH HEALTHCARE PARTNERS,LIFEPOINT HEALTH INC.,Acquisition 100%,Completed,5600000,2018-07-23T00:00:00Z,2018-11-16T00:00:00Z,NA,NA,0.00000,100.00000,LPNT,NASDAQ National Market,1,NA,NA
83,1941027307,AMERICAN INTERNATIONAL GROUP INC.,VALIDUS HOLDINGS LTD,Acquisition 100%,Completed,5560000,2018-01-22T00:00:00Z,2018-07-18T00:00:00Z,NA,NA,0.00000,100.00000,VR,New York Stock Exchange (NYSE),1,NA,NA
84,1941064458,TENNECO INC.,FEDERAL-MOGUL CORPORATION,Acquisition 100%,Completed Assumed,5400000,2018-04-10T00:00:00Z,NA,NA,NA,0.00000,100.00000,FDML,NASDAQ National Market,0,NA,NA
85,1941022732,SS&C TECHNOLOGIES HOLDINGS INC.,DST SYSTEMS INC.,Acquisition 100%,Completed,5400000,2018-01-11T00:00:00Z,2018-04-16T00:00:00Z,NA,NA,0.00000,100.00000,DST,New York Stock Exchange (NYSE) / NASDAQ OMX PHLX,1,NA,NA
86,1941045725,INVESTORS,ACCORINVEST GROUP SA,Acquisition 57.8%,Completed,5381539.44785405,2018-02-27T00:00:00Z,2018-05-31T00:00:00Z,NA,NA,0.00000,57.80000,NA,NA,1,NA,NA
87,1941170650,TRANSFORM HOLDCO LLC,SEARS HOLDINGS CORPORATION'S ASSETS,Acquisition 100%,Completed,5200000,2019-02-11T00:00:00Z,2019-02-11T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
88,1941059869,PEBBLEBROOK HOTEL TRUST,LASALLE HOTEL PROPERTIES INC.,Acquisition increased from 7.1% to 100%,Completed,5200000,2018-09-06T00:00:00Z,2018-11-30T00:00:00Z,NA,NA,7.10000,92.90000,LHO,New York Stock Exchange (NYSE),1,NA,NA
89,1941162024,GLAXOSMITHKLINE PLC,TESARO INC.,Acquisition 100%,Completed,5100000,2018-12-03T00:00:00Z,2019-01-22T00:00:00Z,NA,NA,0.00000,100.00000,TSRO,NASDAQ National Market,1,NA,NA
90,1941059982,CME LONDON LTD,NEX GROUP PLC,Acquisition 100%,Completed,5039748.26756009,2018-03-29T00:00:00Z,2018-11-05T00:00:00Z,NA,NA,0.00000,100.00000,NXG,London Stock Exchange,1,0001506488,NXG NextGen Infrastructure Income Fund
91,1907236057,PUBLIC SECTOR PENSION INVESTMENT BOARD,EQUIS ENERGY,Institutional buy-out 100%,Completed,5000000,2017-10-24T00:00:00Z,2018-01-19T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
92,1941147911,CARLYLE PARTNERS VII LP,STANDARDAERO AVIATION HOLDINGS INC.,Institutional buy-out 100%,Completed,5000000,2018-12-18T00:00:00Z,2019-04-05T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
93,1941097069,VERSCEND TECHNOLOGIES INC.,COTIVITI HOLDINGS INC.,Acquisition 100%,Completed,4900000,2018-06-19T00:00:00Z,2018-08-27T00:00:00Z,NA,NA,0.00000,100.00000,COTV,New York Stock Exchange (NYSE),1,NA,NA
94,1941030469,WESTROCK COMPANY,KAPSTONE PAPER AND PACKAGING CORPORATION,Acquisition 100%,Completed,4900000,2018-01-29T00:00:00Z,2018-11-02T00:00:00Z,NA,NA,0.00000,100.00000,KS,New York Stock Exchange (NYSE),1,NA,NA
95,1941081964,"COCA-COLA COMPANY, THE",COSTA LTD,Acquisition 100%,Completed,4867866.90226741,2018-08-31T00:00:00Z,2019-01-03T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
96,1941063034,NA,HILTON WORLDWIDE HOLDINGS INC.,Minority stake 20.878%,Completed,4818000,2018-04-09T00:00:00Z,2018-04-13T00:00:00Z,NA,NA,Unknown %,20.87800,HLT,New York Stock Exchange (NYSE) / Wiener Boerse / Bern Stock Exchange / Boerse Berlin / Boerse Duesseldorf / Boerse Frankfurt / Boerse Hannover / Boerse Munchen / Boerse Stuttgart / XETRA Stock Exchange / London Stock Exchange / Borsa Italiana - MTA (Mercato Telematico Azionario) / Bolsa Mexicana de Valores / Moscow Exchange MICEX - RTS,1,0001585689,Hilton Worldwide Holdings Inc.
97,1941131519,ADOBE SYSTEMS INC.,MILESTONE TOPCO INC.,Acquisition 100%,Completed,4750000,2018-09-20T00:00:00Z,2018-10-31T00:00:00Z,NA,NA,0.00000,100.00000,NA,NA,1,NA,NA
98,1941083372,FIFTH THIRD BANCORP,MB FINANCIAL INC.,Acquisition 100%,Completed,4700000,2018-05-21T00:00:00Z,2019-03-22T00:00:00Z,NA,NA,0.00000,100.00000,MBFI,NASDAQ National Market,1,NA,NA
