"column_name","inferred_type","n_missing","pct_missing","n_unique","value_summary","construct","priority","construct_description"
"form_of_the_deal","character",0,0,9,"Merger | Acquisition Of Partial Interest | Acquisition Of Majority Interest","unmapped","LOW","Not automatically mapped"
"deal_type","character",61,0.7,47,"Disclosed Value | Stake Purchase | Undisclosed Value","control_deal_type","HIGH","Deal type (merger/acquisition)"
"consideration_price_per_share_usd","character",4052,49.2,3097,"10 | 3 | 1","outcome_premium_input","CRITICAL","Offer price (premium numerator)"
"share_price_paid_by_acquiror_for_target_shares_usd","numeric",2893,35.1,2662,"Range: [0.00, 775000.00]","outcome_premium_input","CRITICAL","Offer price (premium numerator)"
"target_share_price_1_day_prior_to_announcement_usd","numeric",856,10.4,3796,"Range: [0.00, 16575.00]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"target_share_price_1_week_prior_to_announcement_usd","numeric",894,10.9,3719,"Range: [0.00, 16800.00]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"target_share_price_4_weeks_prior_to_announcement_usd","numeric",915,11.1,3728,"Range: [0.00, 9000.00]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"premium_paid_1_day_prior_to_announcement","numeric",3219,39.1,3798,"Range: [-99.98, 186760.00]","date_announcement","CRITICAL","Deal announcement date"
"premium_paid_1_week_prior_to_announcement","numeric",3233,39.2,3793,"Range: [-99.98, 186760.00]","date_announcement","CRITICAL","Deal announcement date"
"premium_paid_4_weeks_prior_to_announcement","numeric",3241,39.3,3851,"Range: [-99.98, 186760.00]","date_announcement","CRITICAL","Deal announcement date"
"deal_attitude","character",0,0,5,"Friendly | No Applicable | Neutral","moderator_deal","MEDIUM","Deal attitude (hostile/friendly)"
"tender_offer_flag","character",0,0,2,"FALSE | TRUE","moderator_deal","MEDIUM","Tender offer indicator"
"competing_offer_flag","character",7539,91.5,13,"False | True | False|False","moderator_deal","MEDIUM","Competition indicator"
"cross_border_deal_flag","character",0,0,2,"FALSE | TRUE","moderator_geography","MEDIUM","Cross-border indicator"
