"column_name","inferred_type","n_missing","pct_missing","n_unique","value_summary","construct","priority","construct_description"
"acquiror_ultimate_parent_name","character",0,0,4312,"Investor Group | Creditors | United States of America","identifier_acquirer","HIGH","Acquirer company name"
"acquiror_state","character",7,0.1,53,"Foreign | New York | California","moderator_geography","MEDIUM","Acquirer state"
"deal_value_usd_millions","numeric",1444,15.2,5932,"Range: [0.01, 210000.00]","control_deal_value","HIGH","Deal value (control variable)"
"percentage_of_shares_held_by_acquiror_6_months_prior_to_announcement","numeric",0,0,571,"Range: [0.00, 91.91]","date_announcement","CRITICAL","Deal announcement date"
"percentage_of_shares_acquired_in_transaction","numeric",0,0,2608,"Range: [0.00, 100.00]","control_payment","HIGH","Percentage of stock consideration"
"percentage_of_shares_owned_after_transaction","numeric",2950,31.2,2526,"Range: [0.00, 100.00]","control_payment","HIGH","Percentage of stock consideration"
"acquisition_techniques","character",0,0,1222,"Not Applicable | Privately Negotiated Purchase | Stock Swap","moderator_deal","MEDIUM","Acquisition technique"
"percentage_of_cash","numeric",0,0,923,"Range: [0.00, 200.00]","control_payment","HIGH","Percentage of cash consideration"
"percentage_of_stock","numeric",0,0,660,"Range: [0.00, 100.00]","control_payment","HIGH","Percentage of stock consideration"
"form_of_the_deal","character",0,0,10,"Merger | Buyback | Acquisition Of Partial Interest","unmapped","LOW","Not automatically mapped"
"deal_type","character",58,0.6,59,"Disclosed Value | Repurchases | Stake Purchase","control_deal_type","HIGH","Deal type (merger/acquisition)"
"consideration_price_per_share_usd","character",5207,55,3064,"10 | 14 | 20","outcome_premium_input","CRITICAL","Offer price (premium numerator)"
"share_price_paid_by_acquiror_for_target_shares_usd","numeric",4009,42.3,2636,"Range: [0.00, 775000.00]","outcome_premium_input","CRITICAL","Offer price (premium numerator)"
"target_share_price_1_day_prior_to_announcement_usd","numeric",428,4.5,4934,"Range: [0.00, 3664.20]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"target_share_price_1_week_prior_to_announcement_usd","numeric",448,4.7,4870,"Range: [0.00, 5158.60]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"target_share_price_4_weeks_prior_to_announcement_usd","numeric",446,4.7,4852,"Range: [0.00, 6105.40]","outcome_premium_input","CRITICAL","Target stock price (premium denominator)"
"premium_paid_1_day_prior_to_announcement","numeric",4174,44.1,3743,"Range: [-99.98, 25350.45]","date_announcement","CRITICAL","Deal announcement date"
"premium_paid_1_week_prior_to_announcement","numeric",4184,44.2,3873,"Range: [-99.98, 28275.53]","date_announcement","CRITICAL","Deal announcement date"
"premium_paid_4_weeks_prior_to_announcement","numeric",4178,44.1,3990,"Range: [-99.98, 43568.83]","date_announcement","CRITICAL","Deal announcement date"
"deal_attitude","character",0,0,5,"Friendly | No Applicable | Unsolicited","moderator_deal","MEDIUM","Deal attitude (hostile/friendly)"
"tender_offer_flag","character",0,0,2,"FALSE | TRUE","moderator_deal","MEDIUM","Tender offer indicator"
"competing_offer_flag","character",8586,90.7,13,"False | True | False|False","moderator_deal","MEDIUM","Competition indicator"
"cross_border_deal_flag","character",0,0,2,"FALSE | TRUE","moderator_geography","MEDIUM","Cross-border indicator"
